,"Sum Sq",Df,"F value",Pr(>F)
Scene,10765.517816999938,3.0,330.73427763642576,1.0942235725342866E-97
OS,761.1460175000011,4.0,17.53773593752624,5.01800507864438E-13
Acc.Int,2914.9651249999843,3.0,89.55248612657131,4.29308043391852E-42
Scene:OS,224.0382304999971,12.0,1.7207050229008043,0.06127816578386781
Scene:Acc.Int,4183.983561000012,9.0,42.84626787776269,6.492352446823166E-50
OS:Acc.Int,255.10007249999853,12.0,1.9592726433942822,0.027398467011164763
Scene:OS:Acc.Int,267.84519150000233,36.0,0.6857201192036252,0.9152850956604007
Residuals,3472.0377599999993,320.0,,
